,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00153762",133,76,25,6,13,3,12,110,66,25,6,5,-,14,101,60,25,2,5,-,10,34,23,1,-,3,-,5,2,-,-,2,-,-,-,65,35,23,-,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,-,2,-,-,2,1,-,-,-,1,-,-,10,7,-,2,-,4,1,10,1,-,-,7,1,-,-,-,-,-,-,-,-
"S00153763",68,30,21,1,6,1,7,61,27,21,-,5,1,7,58,25,21,-,5,1,4,13,6,2,-,3,1,-,6,-,3,-,1,-,2,35,19,15,-,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,1,-,-,1,-,-,-,3,1,-,-,1,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-
"S00153764",220,127,31,20,29,10,4,197,119,28,20,25,1,3,184,116,28,21,17,1,3,28,20,-,5,5,-,-,1,-,1,-,-,-,-,154,98,27,13,11,1,3,2,-,-,-,2,-,-,-,-,-,-,-,-,-,14,5,-,-,10,1,-,2,1,-,-,-,-,1,11,2,1,-,2,7,-,11,5,-,-,4,-,-,-,-,-,-,-,-,-
"S00153765",108,50,27,14,16,-,5,106,49,25,14,16,-,5,100,45,25,8,16,-,5,30,13,5,1,13,-,-,2,-,-,-,2,-,-,68,33,22,7,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,3,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00153766",123,75,13,11,4,4,15,109,65,13,11,4,3,13,96,61,13,6,4,-,11,36,21,-,1,5,-,1,2,2,-,-,-,-,-,60,34,13,5,1,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,4,-,5,-,-,2,1,1,-,-,-,-,-,7,5,-,-,-,1,2,6,5,-,-,-,-,1,-,-,-,-,-,-,-
"S00153767",97,62,9,8,9,2,5,81,51,12,6,6,-,5,68,46,11,3,6,-,2,21,16,-,-,1,-,-,-,-,-,-,-,-,-,45,29,11,2,2,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-,11,3,-,3,-,-,1,1,-,-,-,1,-,-,4,4,-,-,-,-,-,14,7,1,1,2,2,-,-,-,-,-,-,-,-
"S00153768",136,86,20,6,10,3,13,116,77,20,4,6,-,8,107,71,20,4,6,-,6,21,15,-,1,4,-,1,-,-,-,-,-,-,-,86,56,20,3,1,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,-,-,1,-,3,1,-,-,-,-,-,1,2,2,-,-,-,-,-,11,6,-,1,2,1,4,3,1,-,1,-,1,-
"S00153769",64,29,16,9,4,-,6,61,29,15,7,4,-,6,59,27,15,7,4,-,6,18,7,1,1,4,-,5,-,-,-,-,-,-,-,41,24,14,6,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00153770",91,40,36,8,3,1,5,84,35,36,5,3,-,5,79,32,36,4,3,-,5,9,2,1,2,2,-,1,-,-,-,-,-,-,-,70,30,35,2,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,2,-,-,-,-,-,-,-,-,-,-,3,4,-,-,-,1,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00153771",93,50,12,5,10,1,13,81,43,12,5,8,-,13,74,36,12,5,8,-,13,23,12,1,2,3,-,5,5,1,3,2,-,-,-,44,20,8,2,4,-,12,-,1,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,2,2,-,-,-,-,-,2,-,-,-,1,-,1,8,6,-,-,1,1,-,2,-,-,-,-,-,2
"S00153772",233,146,15,22,27,14,11,195,123,13,18,23,9,11,169,112,13,11,19,7,10,51,34,1,4,10,2,1,-,-,-,-,-,-,-,112,74,13,6,10,3,8,7,3,-,-,-,-,2,-,-,-,-,-,-,-,28,11,-,9,4,3,-,-,-,-,-,1,-,-,13,10,2,-,-,3,-,20,13,-,4,3,-,-,1,1,-,-,-,-,-
"S00153773",166,98,21,13,19,4,8,131,81,16,10,12,-,6,114,71,16,7,9,1,6,31,21,3,2,4,1,1,3,1,-,-,1,-,-,79,49,17,5,4,-,4,2,-,-,-,2,-,-,-,-,-,-,-,-,-,20,10,-,2,3,2,-,3,2,1,-,1,-,-,10,8,-,2,3,1,1,16,8,-,2,5,1,2,-,-,-,-,-,-,-
"S00153774",91,51,22,1,5,-,7,85,47,22,1,5,-,6,79,42,22,1,4,-,6,15,6,4,-,2,-,1,-,-,-,-,-,-,-,64,36,18,1,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,-,-,1,-,1,-,-,-,-,-,-,-
"S00153775",107,42,29,8,12,1,12,86,33,29,6,7,1,11,82,31,29,2,7,1,9,15,6,-,3,4,-,1,-,-,-,-,-,-,-,64,25,26,2,4,1,8,2,-,2,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,2,-,-,-,-,-,-,-,4,4,-,-,-,-,-,12,4,-,2,5,-,1,1,1,-,-,-,-,-
"S00153776",79,47,9,10,9,3,4,69,41,9,9,7,1,3,61,33,9,6,2,1,3,16,10,1,1,4,1,-,2,2,1,-,-,-,-,39,23,6,5,1,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,9,4,-,3,2,-,-,1,-,-,-,-,1,-,2,2,-,-,-,-,-,6,-,-,1,2,-,1,1,1,-,-,-,-,-
"S00153777",94,40,23,4,8,7,9,84,38,25,4,3,6,8,81,35,25,4,3,6,8,26,11,8,-,3,1,4,-,-,-,-,-,-,-,55,24,17,4,-,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,-,-,-,-,7,1,-,-,5,1,-,-,-,-,-,-,-,-
"S00153778",129,70,27,14,5,6,11,110,57,27,12,3,3,11,94,46,27,11,1,2,7,23,16,4,1,-,-,4,-,-,-,-,-,-,-,71,30,22,10,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,11,-,1,2,1,1,4,2,-,-,1,-,2,7,5,-,-,-,2,-,9,4,-,2,1,1,-,-,-,-,-,-,-,-
"S00153779",89,35,25,9,3,2,12,81,33,25,9,3,1,10,79,33,25,7,3,1,9,17,9,-,-,3,1,4,-,-,-,-,-,-,-,63,25,24,7,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,1,-,-,-,-,-,-,-,6,3,-,-,-,1,-,4,-,-,-,-,-,2,-,-,-,-,-,-,-
"S00153780",60,34,8,2,10,3,4,51,26,8,2,7,3,3,49,26,8,2,6,3,3,15,10,-,-,1,2,1,3,-,-,-,3,-,-,31,20,8,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,4,1,-,-,1,-,-,5,3,-,-,-,-,2,-,-,-,-,-,-,-
"S00153781",110,47,26,6,18,4,9,101,45,28,6,16,3,7,94,41,28,6,16,2,4,28,9,2,3,11,-,3,2,-,-,1,1,-,-,61,30,21,3,1,2,2,3,-,-,-,3,-,-,-,-,-,-,-,-,-,8,3,-,-,-,2,3,5,1,-,-,1,1,1,4,2,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00153782",105,75,10,10,5,-,6,95,68,7,7,5,-,6,87,65,7,4,2,-,6,16,11,-,4,4,-,1,-,-,-,-,-,-,-,69,53,7,1,1,-,5,2,2,-,-,-,-,-,-,-,-,-,-,-,-,7,3,-,5,2,-,1,-,-,-,-,-,-,-,5,2,2,1,-,-,-,5,2,1,2,-,-,-,-,-,-,-,-,-,-
"S00153783",80,42,21,8,5,1,4,75,39,21,8,3,1,4,69,36,21,6,3,1,3,5,4,2,-,-,1,-,2,1,-,-,1,-,-,60,31,18,6,2,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,1,-,-,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,3,1,-,-,3,-,-,-,-,-,-,-,-,-
"S00153784",100,47,33,1,10,2,7,91,46,33,1,6,2,2,86,40,33,1,6,2,2,6,4,1,-,-,-,1,-,-,-,-,-,-,-,79,36,32,2,6,2,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,5,2,-,-,-,-,4,-,-,-,-,-,-,-,6,3,-,-,1,-,1,5,1,-,-,2,-,-,-,-,-,-,-,-,-
"S00153785",105,64,16,5,11,1,7,97,59,16,5,5,1,7,90,56,16,3,4,1,7,15,8,-,-,2,1,3,1,1,-,-,-,-,-,73,46,18,3,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,2,1,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,7,1,-,-,6,-,-,-,-,-,-,-,-,-
"S00153786",67,29,9,5,8,1,10,58,23,9,5,6,1,9,57,23,9,5,5,1,9,7,3,-,-,2,-,-,-,-,-,-,-,-,-,50,20,9,5,3,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,5,5,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-
"S00153787",158,85,38,13,11,8,8,137,74,38,13,11,1,8,128,67,33,10,9,1,8,24,14,2,3,3,1,4,-,-,-,-,-,-,-,102,52,32,6,6,-,6,1,-,-,1,-,-,-,-,-,-,-,-,-,-,13,5,1,4,1,-,-,-,-,-,-,-,-,-,15,9,-,-,-,6,-,2,1,-,-,-,2,-,-,-,-,-,-,-,-
"S00153788",79,38,23,9,6,-,2,68,35,21,7,6,-,1,66,35,21,7,5,-,-,10,7,-,-,3,-,-,-,-,-,-,-,-,-,56,28,21,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,9,2,1,4,-,-,1,1,1,-,-,-,-,-
"S00153789",97,37,31,10,9,2,10,86,35,31,8,5,1,8,75,29,31,4,2,1,7,26,10,6,2,1,-,5,-,-,-,-,-,-,-,53,22,25,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,-,4,3,-,-,1,-,-,-,-,-,1,2,-,-,-,-,-,-,8,1,-,1,4,1,2,-,-,-,-,-,-,-
"S00153790",103,47,31,5,12,1,9,100,47,26,5,11,-,9,89,41,26,2,11,-,9,19,16,-,-,2,-,-,2,-,-,-,2,-,-,68,22,26,2,7,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,2,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,1,-,5,1,-,-,-,-,-,2,2,-,-,-,-,-
"S00153791",145,78,41,10,5,10,5,129,69,40,8,5,5,2,121,66,39,5,4,5,2,31,23,-,-,4,1,1,7,1,5,-,-,1,-,83,42,32,5,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,1,3,1,-,-,-,-,-,-,-,-,-,9,-,2,2,-,5,1,7,5,-,-,-,-,1,-,-,-,-,-,-,-
"S00153792",130,90,25,4,3,1,7,129,89,25,4,3,1,6,126,91,25,4,3,1,5,30,19,4,4,3,-,1,-,-,-,-,-,-,-,93,66,21,1,-,1,4,2,2,-,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00153793",129,74,13,9,20,5,15,115,65,11,8,17,2,15,105,60,11,5,16,2,8,36,17,1,1,11,2,4,-,-,-,-,-,-,-,68,38,10,4,5,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,5,-,3,2,-,1,1,-,-,1,-,-,-,6,-,-,-,3,3,-,7,5,2,-,-,-,-,-,-,-,-,-,-,-
"S00153794",66,30,19,9,1,1,2,58,29,19,7,1,1,2,53,24,19,6,1,1,2,11,8,2,2,-,-,-,1,1,-,-,-,-,-,41,15,17,5,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,-,-,-,-,-,-,-,-,-,-
"S00153795",77,38,13,6,6,8,6,70,33,13,6,6,5,6,58,28,13,6,3,4,4,23,11,1,4,2,4,1,-,-,-,-,-,-,-,35,17,11,2,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,-,-,1,-,2,1,-,-,-,-,2,-,4,2,-,-,1,1,-,1,1,-,-,-,-,-,2,2,-,-,-,-,-
"S00153796",139,64,39,10,17,-,9,127,59,38,11,13,-,9,122,57,38,6,12,-,9,23,11,2,1,6,-,1,2,1,-,-,-,-,-,96,44,36,4,6,-,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,5,2,-,2,1,-,-,2,-,-,1,1,-,-,4,-,1,-,-,-,-,7,3,-,1,3,-,-,-,-,-,-,-,-,-
"S00153797",113,48,37,10,17,-,5,108,43,36,10,17,-,5,105,43,36,8,12,-,5,19,12,-,-,4,-,1,-,-,-,-,-,-,-,86,32,33,8,10,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,3,3,-,-,-,-,-
"S00153798",150,86,28,9,15,8,6,134,76,28,9,13,5,6,121,69,20,4,13,4,6,26,18,-,2,4,2,-,3,-,2,-,2,-,-,91,51,23,3,7,2,6,2,2,-,-,-,-,-,-,-,-,-,-,-,-,11,7,2,5,-,1,1,-,-,-,-,-,-,-,4,2,-,-,-,2,-,12,6,-,-,2,2,-,-,-,-,-,-,-,-
"S00153799",87,49,21,10,6,-,5,84,44,20,10,6,-,5,80,41,20,9,6,-,4,11,3,-,-,1,-,-,1,1,-,-,-,-,-,70,37,19,8,3,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,4,4,-,1,-,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,2,2,-,-,-,-,-
"S00153800",86,51,15,5,3,-,8,78,47,15,5,3,-,8,77,47,15,4,3,-,8,19,10,3,2,1,-,3,-,-,-,-,-,-,-,58,38,12,2,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-
"S00153801",140,63,26,17,11,5,18,124,56,29,16,7,4,16,107,49,29,12,3,2,16,22,13,3,-,-,-,6,1,-,1,-,-,-,-,84,36,21,12,3,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,7,-,4,4,2,-,3,1,-,-,-,-,-,5,4,-,-,1,1,-,6,2,1,-,3,-,-,-,-,-,-,-,-,-
"S00153802",120,52,47,4,14,-,2,114,52,46,4,9,-,2,110,45,45,4,9,-,2,18,8,4,-,4,-,-,-,-,-,-,-,-,-,88,41,40,4,1,-,2,4,-,1,-,1,-,-,-,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,4,-,-,-,4,-,-,-,-,-,-,-,-,-
"S00153803",102,42,35,7,14,-,5,87,35,34,6,9,-,3,82,33,34,5,8,-,3,17,7,4,-,6,-,-,-,-,-,-,-,-,-,62,24,32,5,2,-,3,3,2,2,-,-,-,-,-,-,-,-,-,-,-,5,2,-,1,1,-,2,-,-,-,-,-,-,-,9,6,1,-,1,-,1,3,-,-,1,-,-,1,4,-,-,-,4,-,-
"S00153804",97,44,24,6,10,-,11,95,40,24,6,10,-,11,86,39,24,5,7,-,11,21,12,2,-,4,-,1,1,1,-,-,-,-,1,65,24,22,5,2,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,1,3,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
"S00153805",69,25,20,7,8,-,5,62,25,20,5,7,-,5,62,25,20,5,7,-,5,15,4,2,3,6,-,1,-,-,-,-,-,-,-,45,20,18,3,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00153806",102,55,28,8,1,-,10,91,48,27,7,1,-,8,83,45,27,7,-,-,7,7,5,-,-,-,-,2,-,-,-,-,-,-,-,80,39,27,7,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,-,2,1,-,1,1,-,-,1,-,-,-,8,5,2,-,-,-,2,2,2,-,-,-,-,-,1,1,-,-,-,-,-
"S00153807",66,43,11,6,1,-,2,57,38,11,6,1,-,2,51,35,7,2,-,-,2,4,4,1,1,-,-,-,1,1,-,-,-,-,-,39,35,9,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,1,3,1,-,-,1,1,-,-,-,-,-,4,3,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00153808",100,31,25,7,23,4,6,92,28,24,7,22,1,6,80,20,24,7,22,1,6,28,5,3,-,20,1,2,3,-,-,1,-,-,2,48,13,21,6,5,-,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,8,11,-,2,-,-,1,-,-,-,-,-,-,-,6,2,1,-,-,3,-,2,2,-,-,-,-,-,1,-,-,-,1,-,-
"S00153809",149,68,37,17,7,10,10,136,65,37,17,7,6,9,135,64,37,15,7,5,8,21,13,3,3,-,-,3,-,-,-,-,-,-,-,116,52,34,11,5,5,5,1,-,-,1,-,-,-,-,-,-,-,-,-,-,5,1,-,4,-,-,1,-,-,-,-,-,-,-,2,2,-,-,-,2,-,1,-,-,-,1,-,-,2,1,-,-,-,-,1
"S00153810",79,31,24,-,12,4,10,76,28,24,-,12,4,9,72,26,24,-,12,2,9,11,2,3,-,-,2,3,1,-,1,-,-,-,-,62,23,21,-,12,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,1,-,-,-,-,-,-,-
"S00153811",91,39,21,6,17,-,7,86,36,20,6,16,-,7,78,35,20,5,10,-,7,16,9,1,-,5,-,2,-,-,-,-,-,-,-,62,26,19,4,7,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,-,1,6,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-
"S00153812",113,37,34,8,14,5,15,107,36,34,8,12,5,14,104,36,34,7,9,5,14,20,11,-,3,6,1,-,2,1,-,1,-,-,-,82,24,34,4,4,4,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,4,-,-,-,3,-,2,1,1,-,-,-,-,-
"S00153813",125,67,29,13,13,5,3,119,62,29,7,11,5,3,111,58,29,8,11,3,2,25,12,-,3,9,-,2,4,-,-,4,-,-,-,84,46,29,4,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,-,1,-,-,2,-,-,-,-,-,-,-,3,2,-,1,-,-,-,3,1,-,-,2,-,-,-,-,-,-,-,-,-
"S00153814",81,33,26,3,7,6,6,73,29,26,3,7,5,6,65,25,26,3,6,5,5,12,8,1,1,3,-,-,1,-,-,1,-,-,-,52,16,22,1,3,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,-,1,-,1,1,1,-,-,-,-,-,2,1,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-
"S00153815",93,57,21,1,5,3,4,86,52,21,1,4,2,4,81,43,21,1,4,2,4,13,9,1,-,2,1,-,-,-,-,-,-,-,-,68,38,22,1,3,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,1,-,-,1,1,-,-,-,-,-
"S00153816",104,44,29,10,11,4,7,91,40,29,9,7,1,7,87,33,29,9,6,1,7,16,8,3,1,3,-,4,-,-,-,-,-,-,-,68,26,25,10,6,1,4,4,4,1,-,-,-,-,-,-,-,-,-,-,-,6,5,-,-,1,-,-,5,-,-,-,4,-,-,1,1,-,-,-,-,-,5,3,-,1,-,1,-,-,-,-,-,-,-,-
"S00153817",101,53,29,4,11,2,3,90,45,28,4,10,2,2,86,43,28,4,9,2,-,21,13,4,1,2,-,-,-,-,-,-,-,-,-,64,29,26,2,3,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,1,-,2,2,-,1,-,-,-,1,11,11,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00153818",112,71,14,5,6,2,15,87,49,14,5,3,2,15,80,46,14,4,3,2,12,14,7,1,-,2,-,4,1,-,-,-,1,-,-,65,39,12,4,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,4,-,-,-,-,1,-,-,-,-,-,-,-,11,10,-,-,-,-,1,12,8,-,-,3,-,-,2,2,-,-,-,-,-
"S00153819",104,49,23,10,11,2,6,93,44,25,8,9,1,6,85,40,25,8,6,1,5,19,13,-,2,6,1,2,-,-,-,-,-,-,-,63,27,25,6,4,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,-,-,3,-,1,-,-,-,-,-,-,-,6,3,-,-,4,1,-,2,-,-,2,-,-,-,3,4,2,-,-,-,-
"S00153820",120,53,30,16,16,-,2,108,48,31,14,12,-,2,101,44,31,11,12,-,2,21,8,2,-,8,-,2,2,-,2,1,-,-,-,78,36,26,10,6,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,3,-,-,-,2,-,-,2,-,-,-,4,2,1,-,-,-,-,10,1,-,1,4,-,-,2,2,-,-,-,-,-
"S00153821",90,37,31,10,2,2,9,84,32,31,8,2,2,9,74,31,24,2,2,2,8,16,4,4,-,1,2,3,1,-,-,-,-,-,1,57,27,24,1,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4,2,5,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,4,2,-,2,-,-,-,-,-,-,-,-,-,-
"S00153822",124,53,41,6,7,7,10,110,47,40,6,7,4,9,109,45,40,5,7,4,9,35,18,7,2,7,-,1,1,1,-,-,-,-,-,73,26,33,2,-,4,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,2,-,-,-,3,-,-,-,-,2,-,5,3,1,-,-,1,-,3,2,-,-,-,-,1,-,-,-,-,-,-,-
"S00153823",172,110,24,7,14,5,8,163,104,24,9,14,4,8,155,101,23,3,13,4,8,26,15,2,1,-,3,4,2,2,-,-,-,-,-,126,80,21,4,13,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,1,4,-,-,-,4,-,-,-,4,-,-,2,-,-,2,-,-,-,1,-,-,-,-,1,-,3,3,-,-,-,-,-
"S00153824",124,51,34,7,20,3,8,115,49,32,6,17,3,8,107,46,32,6,17,3,8,31,13,-,3,9,4,3,2,2,1,-,-,-,-,74,31,30,3,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,-,2,2,-,-,1,-,1,-,-,-,-,3,-,2,-,2,-,-,4,2,-,1,2,-,-,1,1,-,-,-,-,-
"S00153825",105,43,25,9,15,5,6,92,39,25,7,12,2,6,78,33,25,3,9,2,5,15,6,1,-,4,1,-,-,-,-,-,-,-,-,65,27,23,3,8,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,4,-,4,3,-,-,-,-,-,-,-,-,-,4,2,-,-,-,3,-,7,4,-,-,3,2,-,1,-,-,1,-,-,-
"S00153826",81,28,32,5,3,-,16,81,26,32,5,3,-,15,77,26,32,5,3,-,12,12,3,2,3,-,-,1,-,-,-,-,-,-,-,64,20,30,3,3,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00153827",107,41,35,1,15,6,9,85,37,31,-,6,3,10,81,33,31,-,6,3,10,14,12,1,-,2,2,-,-,-,-,-,-,-,-,66,23,30,-,4,1,10,1,1,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,2,-,-,-,-,-,2,8,-,1,-,2,2,-,12,1,3,1,7,-,-,1,1,-,-,-,-,-
