SuperWEB2(tm)

"Census 2022-Person-2Fv1"
"Scotland's Census 2022 - National Records of Scotland Table UV606 - Occupation All people aged 16 and over in employment the week before the census"
"Intermediate Zone - Data Zone 2011 by Occupation (Grouped) by Economic activity"
"Counting: Individuals"

Filters:
"Default Summation","Individuals"
"Economic activity","1 - 13"

"Counting","Economic activity","Intermediate Zone - Data Zone 2011","Occupation (Grouped)","Count",
"Individuals","1 - 13","S01006516","Managers, Directors and Senior Officials - Total",38
"Individuals","1 - 13","S01006516","Corporate Managers and Directors",23
"Individuals","1 - 13","S01006516","Other Managers and Proprietors",16
"Individuals","1 - 13","S01006516","Professional Occupations - Total",76
"Individuals","1 - 13","S01006516","Science, Research, Engineering and Technology Professionals",15
"Individuals","1 - 13","S01006516","Health Professionals",13
"Individuals","1 - 13","S01006516","Teaching and Educational Professionals",22
"Individuals","1 - 13","S01006516","Business, Media and Public Service Professionals",29
"Individuals","1 - 13","S01006516","Associate Professional and Technical Occupations - Total",32
"Individuals","1 - 13","S01006516","Science, Engineering and Technology Associate Professionals",3
"Individuals","1 - 13","S01006516","Health and Social Care Associate Professionals",10
"Individuals","1 - 13","S01006516","Protective Service Occupations",1
"Individuals","1 - 13","S01006516","Culture, Media and Sports Occupations",3
"Individuals","1 - 13","S01006516","Business and Public Service Associate Professionals",16
"Individuals","1 - 13","S01006516","Administrative and Secretarial Occupations - Total",13
"Individuals","1 - 13","S01006516","Administrative Occupations",10
"Individuals","1 - 13","S01006516","Secretarial and related Occupations",1
"Individuals","1 - 13","S01006516","Skilled Trade Occupations - Total",19
"Individuals","1 - 13","S01006516","Skilled Agriculture and related Trades",1
"Individuals","1 - 13","S01006516","Skilled Metal, Electrical and Electronic Trades",12
"Individuals","1 - 13","S01006516","Skilled Construction and Building Trades",1
